time;real_x;predict_x;update_x;real_y;predict_y;update_y;real_phi;predict_phi;update_phi
127,2692;0,057072;0,1463203;0,07667249;0,03859568;0,07965771;0,02642174;81,11216;77,13226;81,02295
127,4721;0,057072;0,1463203;0,07668885;0,03859568;0,07965771;0,0285413;81,11216;77,13226;81,04283
127,6778;0,057072;0,1463203;0,07667176;0,03859568;0,07965771;0,03037295;81,11216;77,13226;81,06002
127,897;0,057072;0,1463203;0,07665201;0,03859568;0,07965771;0,03182682;81,11216;77,13226;81,07365
128,1127;0,057072;0,1463203;0,07663656;0,03859568;0,07965771;0,03292879;81,11216;77,13226;81,08399
128,3156;0,057072;0,1463203;0,07662388;0,03859568;0,07965771;0,03374519;81,11216;77,13226;81,09164
128,5321;0,057072;0,1463203;0,07654191;0,03859568;0,07965771;0,03091415;81,11216;77,13226;81,06877
128,7525;0,057072;0,1463203;0,07643888;0,03859568;0,07965771;0,03029492;81,11216;77,13226;81,06079
128,9558;0,057072;0,1463203;0,0764268;0,03859568;0,07965771;0,02995414;81,11216;77,13226;81,05701
129,1685;0,07785146;0,2182519;0,09214064;0,171475;0,3945421;0,186976;81,11216;77,13226;81,22591
129,3815;0,1260904;0,2460435;0,143908;0,4799505;0,5162011;0,4785624;81,11216;77,13226;80,80632
129,5915;0,1320712;0,2484335;0,1483565;0,5181965;0,5266634;0,5631863;81,11216;77,13226;80,76486
129,801;0,132598;0,2486433;0,1450917;0,5215649;0,5275819;0,5753623;81,11216;77,13226;80,8431
130,0123;0,1439107;0,2973628;0,1802102;0,5878304;0,7408539;0,5051935;78,85148;69,7651;76,44367
130,2229;0,2560918;0,4430761;0,3094895;0,9580785;1,136148;0,9539979;65,79597;55,57758;63,67809
130,4477;0,4775831;0,6285595;0,4815264;1,331015;1,406812;1,381331;51,1485;44,52779;51,75881
130,6491;0,5374339;0,6490022;0,5478936;1,405318;1,426921;1,418489;51,1485;44,52779;51,49282
130,874;0,5436275;0,6507183;0,5634868;1,413006;1,428609;1,421673;51,1485;44,52779;51,29849
131,0877;0,4227756;0,3720393;0,09253682;1,264857;1,154486;1,172064;48,11833;31,36374;36,42685
131,2912;0,1216707;0,02455106;-0,1940077;0,9925458;0,9426796;0,8250048;34,41399;17,65924;23,1093
131,5008;-0,2080145;-0,1836999;-0,1948759;0,8107238;0,8763814;0,8134586;22,7107;17,65924;22,66085
131,7104;-0,2721057;-0,2019704;-0,2588558;0,7838998;0,8705649;0,9129132;22,7107;17,65924;22,64076
131,9334;-0,2779104;-0,2034674;-0,2628013;0,7814704;0,8700883;0,9312905;22,7107;17,65924;22,7141
132,1521;-0,2783598;-0,2035869;-0,2715927;0,7812822;0,8700503;0,8990133;22,7107;17,65924;22,53992
132,3737;-0,2783962;-0,2035964;-0,2709125;0,781267;0,8700472;0,8912945;22,7107;17,65924;22,47683
132,5837;-0,1490135;0,1045822;-0,1095687;0,8305133;0,9681581;0,7482397;18,04765;6,767799;14,86449
132,7939;0,2562959;0,521881;0,31213;0,9161563;1,01768;0,8825951;4,06308;-7,383755;1,907084
133,011;0,6166874;0,6890885;0,5887448;0,9101608;0,9960118;1,16155;-5,097885;-7,383755;-1,700401
133,2139;0,6641628;0,7031259;0,6277792;0,9059256;0,9941927;1,062865;-5,097885;-7,383755;-3,375398
133,4209;0,6687757;0,7044289;0,6674728;0,9055141;0,9940239;0,970124;-5,097885;-7,383755;-4,268848
133,6304;0,6691951;0,7045448;0,6785056;0,9054766;0,9940088;0,92546;-5,097885;-7,383755;-4,762183
133,8387;0,6692321;0,7045551;0,6840847;0,9054734;0,9940075;0,9021549;-5,097885;-7,383755;-5,023006
134,0544;0,9246902;1,132465;0,9880394;0,8696774;0,9385551;0,5618274;-12,89335;-21,91453;-18,88997
134,2644;1,306892;1,412781;1,3137;0,7405888;0,8257862;0,8814204;-23,35052;-21,91453;-20,75223
