time;real_x;real_y;real_phi;predict_x;predict_y;predict_phi;update_x;update_y;update_phi
7,383915;-24,96004;14,02254;88,87586; -25;14,02519;90,00001; -24,98622;14,04259;88,54279
7,410936;-24,96071;14,00925;88,89136; -25;14,01168;90,00001; -24,9873;14,03346;88,52219
7,443036;-24,96144;13,99242;88,95206; -25;13,99563;90,00001; -24,98794;14,0171;88,63837
7,469516;-24,96086;13,97881;88,99553; -25;13,98239;90,00001; -24,99009;14,00644;88,67741
7,502567;-24,96113;13,96215;89,02074; -25;13,96586;90,00001; -24,99547;13,98098;88,69315
7,528535;-24,9624;13,94847;89,05692; -25;13,95288;90,00001; -24,99734;13,95714;88,57484
7,557648;-24,96263;13,93442;89,06695; -25;13,93832;90,00001; -25,00296;13,92813;88,66355
7,59298;-24,96276;13,91843;89,10312; -25;13,92065;90,00001; -24,9987;13,93338;88,67722
7,620141;-24,96309;13,90554;89,21863; -25;13,90707;90,00001; -24,99299;13,91936;88,79317
7,652223;-24,96209;13,88997;89,12287; -25;13,89103;90,00001; -24,9935;13,91997;88,83997
7,679153;-24,9624;13,87847;89,17694; -25;13,87757;90,00001; -24,99233;13,91635;88,84996
7,713724;-24,96253;13,86278;89,06258; -25;13,86028;90,00001; -24,99047;13,88821;88,75391
7,740901;-24,9622;13,84979;89,01468; -25;13,84669;90,00001; -24,99584;13,86743;88,73286
7,773318;-24,96056;13,83355;89,19893; -25;13,83049;90,00001; -24,9928;13,85567;88,72249
7,799646;-24,96132;13,819;89,27005; -25;13,81732;90,00001; -24,99272;13,83971;88,84688
7,825593;-24,96337;13,80637;89,24185; -25;13,80435;90,00001; -24,9962;13,81748;88,7701
7,858453;-24,9631;13,79041;89,1785; -25;13,78792;90,00001; -24,9919;13,79244;88,75652
7,890279;-24,9623;13,77371;89,34201; -25;13,77201;90,00001; -25,00251;13,77017;88,87439
7,923534;-24,96317;13,7561;89,39297; -25;13,75538;90,00001; -24,99642;13,75481;88,94097
7,949971;-24,96297;13,74212;89,27087; -25;13,74216;90,00001; -24,98793;13,76389;89,06467
7,981246;-24,96225;13,72684;89,34745; -25;13,72652;90,00001; -24,98955;13,75224;89,0249
